"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 15 07:33:49 PST 2024","Thu Feb 15 07:33:50 PST 2024","1671","","Home","","","","Click logo button and assert url does not contain get-started text",""
"passed","Thu Feb 15 07:58:22 PST 2024","Thu Feb 15 07:58:28 PST 2024","6594","","Contact","","","","Fill all the input fields, submit form and assert success message",""
"passed","Thu Feb 15 06:41:18 PST 2024","Thu Feb 15 06:41:21 PST 2024","2479","","Blog","","","","Get the list of all Recent Post, Assert the text length of each list item > 10 characters and Assert the total count of rows = 5 ",""
"passed","Thu Feb 15 07:33:46 PST 2024","Thu Feb 15 07:33:48 PST 2024","1436","","Home","","","","Open About Page & assert URL",""
"passed","Fri Feb 16 07:40:08 PST 2024","Fri Feb 16 07:40:15 PST 2024","6730","","Contact","","","","Fill all the input fields, submit form and assert success message",""
"passed","Thu Feb 15 07:33:49 PST 2024","Thu Feb 15 07:33:50 PST 2024","988","","Home","","","","Click get started button and assert url contains get-started text",""
"passed","Thu Feb 15 07:33:48 PST 2024","Thu Feb 15 07:33:49 PST 2024","1567","","Home","","","","Open About Page & assert URL",""
"passed","Thu Feb 15 07:33:44 PST 2024","Thu Feb 15 07:33:46 PST 2024","1885","","Home","","","","Open URL & assert title",""
"passed","Thu Feb 15 07:58:23 PST 2024","Thu Feb 15 07:58:27 PST 2024","3396","","Contact","","","","Fill all the input fields, submit form and assert success message",""
"passed","Thu Feb 15 07:33:50 PST 2024","Thu Feb 15 07:33:52 PST 2024","1856","","Home","","","","Click logo button and assert url does not contain get-started text",""
"passed","Fri Feb 16 07:40:01 PST 2024","Fri Feb 16 07:40:15 PST 2024","13890","","Contact","","","","Fill all the input fields, submit form and assert success message",""
"passed","Thu Feb 15 07:33:46 PST 2024","Thu Feb 15 07:33:48 PST 2024","1658","","Home","","","","Open URL & assert title",""
"passed","Thu Feb 15 07:33:50 PST 2024","Thu Feb 15 07:33:51 PST 2024","914","","Home","","","","Find heading element & assert the text",""
"passed","Thu Feb 15 06:41:17 PST 2024","Thu Feb 15 06:41:20 PST 2024","3361","","Blog","","","","Get the list of all Recent Post, Assert the text length of each list item > 10 characters and Assert the total count of rows = 5 ",""
"passed","Thu Feb 15 07:33:48 PST 2024","Thu Feb 15 07:33:49 PST 2024","1014","","Home","","","","Click get started button and assert url contains get-started text",""
"passed","Thu Feb 15 07:33:52 PST 2024","Thu Feb 15 07:33:53 PST 2024","1075","","Home","","","","Find heading element & assert the text",""
